(1, 10)	(1, 20)	0.309000
(1, 10)	(1, 25)	0.000000
(1, 10)	(1, 50)	0.000000
(1, 20)	(1, 25)	0.000000
(1, 20)	(1, 50)	0.000000
(1, 25)	(1, 50)	0.000000
significant	5/6	(cutoff: 0.008333)
