(2, 10, 25)	(2, 40, 70)	0.000000
(2, 10, 25)	(2, 80, 10)	0.000000
(2, 10, 25)	(2, 30, 110)	0.000000
(2, 10, 25)	(2, 40, 128)	0.000000
(2, 10, 25)	(2, 30, 29)	0.000000
(2, 10, 25)	(2, 30, 42)	0.003000
(2, 10, 25)	(2, 40, 30)	0.000000
(2, 10, 25)	(2, 40, 10)	0.000000
(2, 30, 29)	(2, 30, 110)	0.463000
(2, 10, 25)	(2, 30, 30)	0.000000
(2, 30, 29)	(2, 40, 70)	0.014000
(2, 30, 29)	(2, 30, 42)	0.013000
(2, 30, 29)	(2, 40, 30)	0.002000
(2, 10, 25)	(2, 40, 50)	0.000000
(2, 30, 29)	(2, 40, 10)	0.001000
(2, 30, 29)	(2, 40, 128)	0.000000
(2, 30, 29)	(2, 30, 30)	0.000000
(2, 30, 29)	(2, 80, 10)	0.666000
(2, 10, 25)	(2, 60, 120)	0.000000
(2, 30, 29)	(2, 40, 50)	0.001000
(2, 30, 30)	(2, 30, 42)	0.033000
(2, 30, 30)	(2, 30, 110)	0.000000
(2, 30, 30)	(2, 40, 70)	0.000000
(2, 30, 30)	(2, 40, 30)	0.010000
(2, 30, 30)	(2, 40, 10)	0.000000
(2, 30, 30)	(2, 40, 128)	0.000000
(2, 30, 29)	(2, 60, 120)	0.000000
(2, 30, 42)	(2, 30, 110)	0.000000
(2, 10, 25)	(2, 60, 40)	0.002000
(2, 30, 42)	(2, 40, 70)	0.019000
(2, 30, 30)	(2, 40, 50)	0.002000
(2, 30, 30)	(2, 80, 10)	0.001000
(2, 30, 42)	(2, 40, 30)	0.173000
(2, 30, 42)	(2, 40, 128)	0.000000
(2, 30, 42)	(2, 40, 10)	0.045000
(2, 30, 42)	(2, 80, 10)	0.003000
(2, 30, 110)	(2, 40, 30)	0.001000
(2, 30, 110)	(2, 40, 70)	0.062000
(2, 30, 42)	(2, 40, 50)	0.009000
(2, 30, 110)	(2, 40, 128)	0.007000
(2, 30, 110)	(2, 40, 10)	0.003000
(2, 30, 30)	(2, 60, 120)	0.000000
(2, 30, 29)	(2, 60, 40)	0.002000
(2, 30, 110)	(2, 80, 10)	0.387000
(2, 30, 110)	(2, 40, 50)	0.000000
(2, 40, 10)	(2, 40, 70)	0.038000
(2, 30, 42)	(2, 60, 120)	0.000000
(2, 40, 10)	(2, 40, 30)	0.097000
(2, 40, 10)	(2, 40, 128)	0.000000
(2, 30, 30)	(2, 60, 40)	0.000000
(2, 40, 10)	(2, 80, 10)	0.023000
(2, 40, 30)	(2, 40, 70)	0.018000
(2, 30, 110)	(2, 60, 120)	0.499000
(2, 40, 30)	(2, 40, 128)	0.000000
(2, 40, 10)	(2, 40, 50)	0.000000
(2, 40, 30)	(2, 80, 10)	0.054000
(2, 30, 42)	(2, 60, 40)	0.017000
(2, 40, 30)	(2, 40, 50)	0.201000
(2, 40, 10)	(2, 60, 120)	0.000000
(2, 40, 70)	(2, 40, 128)	0.061000
(2, 40, 50)	(2, 40, 70)	0.002000
(2, 40, 50)	(2, 40, 128)	0.000000
(2, 30, 110)	(2, 60, 40)	0.000000
(2, 40, 70)	(2, 80, 10)	0.839000
(2, 40, 30)	(2, 60, 120)	0.000000
(2, 40, 50)	(2, 80, 10)	0.003000
(2, 40, 128)	(2, 80, 10)	0.446000
(2, 40, 10)	(2, 60, 40)	0.011000
(2, 40, 70)	(2, 60, 120)	0.297000
(2, 40, 50)	(2, 60, 120)	0.000000
(2, 40, 30)	(2, 60, 40)	0.385000
(2, 40, 128)	(2, 60, 120)	0.002000
(2, 60, 120)	(2, 80, 10)	0.072000
(2, 40, 70)	(2, 60, 40)	0.030000
(2, 40, 50)	(2, 60, 40)	0.000000
(2, 40, 128)	(2, 60, 40)	0.000000
(2, 60, 40)	(2, 80, 10)	0.056000
(2, 60, 40)	(2, 60, 120)	0.000000
significant	34/78	(cutoff: 0.000641)
