neighbors	exactly equal	80% equal	60% equal	intersection	jaccard
1	55.42%	55.42%	55.42%	0.55 +/- 0.50	0.55 +/- 0.50
5	0.42%	6.22%	37.27%	3.16 +/- 0.95	0.49 +/- 0.21
10	0.00%	7.73%	27.24%	6.66 +/- 1.34	0.51 +/- 0.15
50	0.00%	2.87%	40.35%	36.66 +/- 3.97	0.59 +/- 0.10
100	0.00%	5.28%	60.63%	76.49 +/- 7.01	0.62 +/- 0.09
500	0.00%	29.09%	94.86%	427.82 +/- 32.03	0.75 +/- 0.10
