neighbors	exactly equal	80% equal	60% equal	intersection	jaccard
1	35.35%	35.35%	35.35%	0.35 +/- 0.48	0.35 +/- 0.48
5	0.59%	1.47%	13.15%	2.29 +/- 1.08	0.32 +/- 0.20
10	0.03%	1.57%	6.57%	4.94 +/- 1.70	0.35 +/- 0.16
50	0.00%	0.45%	9.23%	29.64 +/- 5.90	0.43 +/- 0.12
100	0.00%	1.82%	16.92%	64.37 +/- 10.85	0.48 +/- 0.12
500	0.00%	16.47%	73.67%	396.69 +/- 40.99	0.67 +/- 0.11
