neighbors	exactly equal	80% equal	60% equal	intersection	jaccard
1	39.23%	39.23%	39.23%	0.39 +/- 0.49	0.39 +/- 0.49
5	1.15%	3.32%	16.12%	2.27 +/- 1.22	0.33 +/- 0.23
10	0.07%	3.74%	9.51%	4.79 +/- 2.03	0.34 +/- 0.19
50	0.00%	0.66%	9.97%	27.56 +/- 7.75	0.40 +/- 0.15
100	0.00%	3.15%	16.57%	59.33 +/- 15.07	0.44 +/- 0.16
500	0.00%	3.50%	33.67%	343.16 +/- 60.88	0.54 +/- 0.14
