(1, 10, 8)	(1, 10, 490)	0.000000
(1, 10, 8)	(1, 10, 760)	0.000000
(1, 10, 8)	(1, 50, 10)	0.000000
(1, 10, 8)	(1, 20, 58)	0.003000
(1, 10, 8)	(1, 10, 238)	0.000000
(1, 10, 8)	(1, 25, 40)	0.000000
(1, 10, 8)	(1, 10, 150)	0.516000
(1, 10, 8)	(1, 20, 120)	0.000000
(1, 10, 8)	(1, 10, 287)	0.038000
(1, 10, 8)	(1, 20, 5)	0.009000
(1, 10, 8)	(1, 10, 10)	0.775000
(1, 10, 10)	(1, 10, 150)	0.113000
(1, 10, 150)	(1, 10, 238)	0.000000
(1, 10, 10)	(1, 10, 490)	0.010000
(1, 10, 10)	(1, 10, 760)	0.000000
(1, 10, 10)	(1, 10, 238)	0.000000
(1, 10, 150)	(1, 10, 490)	0.051000
(1, 10, 10)	(1, 20, 58)	0.046000
(1, 10, 10)	(1, 25, 40)	0.000000
(1, 10, 10)	(1, 10, 287)	0.105000
(1, 10, 10)	(1, 20, 120)	0.000000
(1, 10, 150)	(1, 10, 760)	0.000000
(1, 10, 10)	(1, 50, 10)	0.000000
(1, 10, 150)	(1, 10, 287)	0.121000
(1, 10, 150)	(1, 20, 58)	0.169000
(1, 10, 150)	(1, 50, 10)	0.000000
(1, 10, 10)	(1, 20, 5)	0.000000
(1, 10, 238)	(1, 10, 490)	0.014000
(1, 10, 238)	(1, 10, 760)	0.000000
(1, 10, 150)	(1, 20, 120)	0.000000
(1, 10, 150)	(1, 25, 40)	0.000000
(1, 10, 238)	(1, 20, 58)	0.000000
(1, 10, 150)	(1, 20, 5)	0.086000
(1, 10, 238)	(1, 50, 10)	0.000000
(1, 10, 238)	(1, 10, 287)	0.000000
(1, 10, 238)	(1, 20, 120)	0.000000
(1, 10, 238)	(1, 25, 40)	0.000000
(1, 10, 490)	(1, 10, 760)	0.000000
(1, 10, 287)	(1, 10, 490)	0.004000
(1, 10, 287)	(1, 10, 760)	0.000000
(1, 10, 238)	(1, 20, 5)	0.000000
(1, 10, 287)	(1, 20, 58)	0.031000
(1, 10, 490)	(1, 20, 58)	0.002000
(1, 10, 490)	(1, 50, 10)	0.000000
(1, 10, 287)	(1, 50, 10)	0.000000
(1, 10, 287)	(1, 20, 120)	0.000000
(1, 10, 490)	(1, 20, 120)	0.007000
(1, 10, 490)	(1, 25, 40)	0.711000
(1, 10, 287)	(1, 25, 40)	0.000000
(1, 10, 760)	(1, 20, 58)	0.000000
(1, 10, 760)	(1, 50, 10)	0.000000
(1, 10, 760)	(1, 25, 40)	0.000000
(1, 10, 760)	(1, 20, 120)	0.000000
(1, 10, 490)	(1, 20, 5)	0.000000
(1, 10, 287)	(1, 20, 5)	0.020000
(1, 20, 58)	(1, 50, 10)	0.000000
(1, 10, 760)	(1, 20, 5)	0.000000
(1, 20, 58)	(1, 20, 120)	0.043000
(1, 20, 58)	(1, 25, 40)	0.000000
(1, 20, 120)	(1, 50, 10)	0.000000
(1, 25, 40)	(1, 50, 10)	0.000000
(1, 20, 120)	(1, 25, 40)	0.000000
(1, 20, 5)	(1, 50, 10)	0.000000
(1, 20, 5)	(1, 20, 58)	0.000000
(1, 20, 5)	(1, 25, 40)	0.000000
(1, 20, 5)	(1, 20, 120)	0.000000
significant	45/66	(cutoff: 0.000758)
