structure-atoms_100-10	0.705850
structure-atoms_100-11	0.705826
structure-atoms_100-12	0.700615
structure-atoms_100-5	0.675984
structure-atoms_100-9	0.707412
structure-atoms_150-5	0.675105
structure-atoms_200-10	0.717044
structure-atoms_200-11	0.716238
structure-atoms_200-12	0.715192
structure-atoms_200-7	0.692453
structure-atoms_200-9	0.705413
structure-atoms_20-5	0.692968
structure-atoms_225-5	0.677839
structure-atoms_250-7	0.697045
structure-atoms_300-6	0.699384
structure-atoms_400-10	0.719454
structure-atoms_400-11	0.732966
structure-atoms_400-12	0.729753
structure-atoms_400-9	0.721981
structure-atoms_40-5	0.692483
structure-atoms_50-9	0.694511
structure-atoms_600-10	0.727085
structure-atoms_600-11	0.742570
structure-atoms_600-12	0.727483
structure-atoms_600-9	0.725234
structure-atoms_60-5	0.684348
structure-atoms_70-9	0.704309
structure-atoms_80-5	0.680776
