structure-atoms_100-10	0.739847
structure-atoms_100-11	0.740273
structure-atoms_100-12	0.737690
structure-atoms_100-5	0.723899
structure-atoms_100-9	0.738626
structure-atoms_150-5	0.726868
structure-atoms_200-10	0.747736
structure-atoms_200-11	0.749499
structure-atoms_200-12	0.749079
structure-atoms_200-7	0.736726
structure-atoms_200-9	0.738162
structure-atoms_20-5	0.716046
structure-atoms_225-5	0.725352
structure-atoms_250-7	0.736541
structure-atoms_300-6	0.733920
structure-atoms_400-10	0.742609
structure-atoms_400-11	0.752226
structure-atoms_400-12	0.753356
structure-atoms_400-9	0.742696
structure-atoms_40-5	0.720617
structure-atoms_50-9	0.725259
structure-atoms_600-10	0.744201
structure-atoms_600-11	0.749873
structure-atoms_600-12	0.749340
structure-atoms_600-9	0.743618
structure-atoms_60-5	0.723606
structure-atoms_70-9	0.731638
structure-atoms_80-5	0.723725
